
 Packet Statistics:
  - Total Packets: 328623
  - Total Data Transferred: 324313533 bytes
  - Min Packet Size: 42 bytes
  - Max Packet Size: 1514 bytes
  - Avg Packet Size: 986.886 bytes

[Unique Source-Destination IP:Port Pairs]
  - 34.236.194.12:443 -> 10.7.11.235:61233
  - 10.7.11.235:61232 -> 10.0.136.7:53
  - 10.7.11.235:61231 -> 10.0.136.7:53
  - 142.251.42.99:443 -> 10.7.11.235:61230
  - 142.251.42.99:443 -> 10.7.11.235:49220
  - 10.7.11.235:49220 -> 142.251.42.99:443
  - 142.250.183.14:443 -> 10.7.11.235:56666
  - 52.88.148.17:443 -> 10.7.11.235:61227
  - 10.7.11.235:61226 -> 108.158.245.110:443
  - 10.0.136.7:53 -> 10.7.11.235:61225
  - 10.7.11.235:61225 -> 10.0.136.7:53
  - 10.7.11.235:61223 -> 52.10.219.207:443
  - 10.0.136.7:53 -> 10.7.11.235:61219
  - 10.7.11.235:61218 -> 20.190.144.138:443
  - 10.0.136.7:53 -> 10.7.11.235:61217
  - 10.7.11.235:61217 -> 10.0.136.7:53
  - 10.7.11.235:61216 -> 10.0.136.7:53
  - 52.182.143.210:443 -> 10.7.11.235:61215
  - 10.0.136.7:53 -> 10.7.11.235:61213
  - 216.58.196.97:443 -> 10.7.11.235:61211
  - 10.7.11.235:61211 -> 216.58.196.97:443
  - 10.7.11.235:50832 -> 216.58.196.97:443
  - 10.0.136.7:53 -> 10.7.11.235:61209
  - 10.7.11.235:61209 -> 10.0.136.7:53
  - 10.7.11.235:61208 -> 10.0.136.7:53
  - 10.7.11.235:65080 -> 180.149.61.76:443
  - 10.7.11.235:62596 -> 142.250.183.14:443
  - 10.7.11.235:61206 -> 142.250.70.110:443
  - 142.250.70.110:443 -> 10.7.11.235:52785
  - 10.7.11.235:52785 -> 142.250.70.110:443
  - 10.0.136.7:53 -> 10.7.11.235:61204
  - 10.0.136.7:53 -> 10.7.11.235:61205
  - 142.251.42.99:443 -> 10.7.11.235:61203
  - 10.7.11.235:61203 -> 142.251.42.99:443
  - 10.7.11.235:50544 -> 142.251.42.99:443
  - 10.0.136.7:53 -> 10.7.11.235:61202
  - 10.0.136.7:53 -> 10.7.11.235:61201
  - 10.7.11.235:61201 -> 10.0.136.7:53
  - 10.7.11.235:50555 -> 142.251.42.99:443
  - 10.7.11.235:61197 -> 142.251.42.99:443
  - 10.7.11.235:64139 -> 142.251.42.99:443
  - 10.0.136.7:53 -> 10.7.11.235:61196
  - 10.7.11.235:61195 -> 10.0.136.7:53
  - 10.7.11.235:61194 -> 52.88.148.17:443
  - 74.125.200.84:443 -> 10.7.11.235:61193
  - 74.125.200.84:443 -> 10.7.11.235:51818
  - 142.250.70.106:443 -> 10.7.11.235:50374
  - 142.250.70.106:443 -> 10.7.11.235:61192
  - 10.7.11.235:51818 -> 74.125.200.84:443
  - 10.7.11.235:61190 -> 10.0.136.7:53
  - 10.0.136.7:53 -> 10.7.11.235:61189
  - 10.0.136.7:53 -> 10.7.11.235:61188
  - 10.7.11.235:61189 -> 10.0.136.7:53
  - 10.7.11.235:61188 -> 10.0.136.7:53
  - 10.7.11.235:61187 -> 54.230.112.80:443
  - 142.250.67.131:443 -> 10.7.11.235:63898
  - 10.0.136.7:53 -> 10.7.11.235:61186
  - 10.0.136.7:53 -> 10.7.11.235:61185
  - 10.7.11.235:61186 -> 10.0.136.7:53
  - 10.7.11.235:61184 -> 142.250.199.174:443
  - 10.7.11.235:63182 -> 142.250.199.174:443
  - 10.0.136.7:53 -> 10.7.11.235:61183
  - 142.250.70.78:443 -> 10.7.11.235:61181
  - 10.7.11.235:61181 -> 142.250.70.78:443
  - 10.7.11.235:63073 -> 142.250.71.106:443
  - 10.0.136.7:53 -> 10.7.11.235:61176
  - 10.7.11.235:61175 -> 216.58.200.170:443
  - 10.7.11.235:56663 -> 216.58.203.10:443
  - 10.7.11.235:63881 -> 216.58.200.170:443
  - 10.0.136.7:53 -> 10.7.11.235:61174
  - 10.7.11.235:61174 -> 10.0.136.7:53
  - 10.7.11.235:61173 -> 10.0.136.7:53
  - 10.7.11.235:61172 -> 10.0.136.7:53
  - 10.7.11.235:61171 -> 10.0.136.7:53
  - 10.7.11.235:65493 -> 142.250.183.14:443
  - 10.7.11.235:61169 -> 10.0.136.7:53
  - 151.101.66.137:443 -> 10.7.11.235:61168
  - 10.0.136.7:53 -> 10.7.11.235:61167
  - 10.7.11.235:61166 -> 10.0.136.7:53
  - 142.250.67.138:443 -> 10.7.11.235:61165
  - 10.7.11.235:53123 -> 142.250.67.138:443
  - 10.7.11.235:61164 -> 10.0.136.7:53
  - 10.7.11.235:61163 -> 10.0.136.7:53
  - 10.7.11.235:65308 -> 142.250.192.131:443
  - 34.225.76.170:443 -> 10.7.11.235:61162
  - 34.225.76.170:443 -> 10.7.11.235:61161
  - 34.225.76.170:443 -> 10.7.11.235:61160
  - 142.250.67.131:443 -> 10.7.11.235:55835
  - 10.0.136.7:53 -> 10.7.11.235:61156
  - 10.0.136.7:53 -> 10.7.11.235:61155
  - 10.7.11.235:61157 -> 10.0.136.7:53
  - 10.7.11.235:61155 -> 10.0.136.7:53
  - 10.7.11.235:55835 -> 142.250.67.131:443
  - 10.0.136.7:53 -> 10.7.11.235:61152
  - 10.0.136.7:53 -> 10.7.11.235:61148
  - 10.7.11.235:61151 -> 10.0.136.7:53
  - 10.7.11.235:61149 -> 10.0.136.7:53
  - 10.7.11.235:61148 -> 10.0.136.7:53
  - 10.0.136.7:53 -> 10.7.11.235:61146
  - 142.250.206.163:443 -> 10.7.11.235:61144
  - 10.0.136.7:53 -> 10.7.11.235:61143
  - 10.0.136.7:53 -> 10.7.11.235:61142
  - 10.7.11.235:61143 -> 10.0.136.7:53
  - 10.7.11.235:61142 -> 10.0.136.7:53
  - 10.7.11.235:61141 -> 18.234.0.179:443
  - 52.10.219.207:443 -> 10.7.11.235:61140
  - 10.0.136.7:53 -> 10.7.11.235:61138
  - 10.7.11.235:61139 -> 10.0.136.7:53
  - 10.7.11.235:61138 -> 10.0.136.7:53
  - 142.250.70.110:443 -> 10.7.11.235:61137
  - 10.7.11.235:61137 -> 142.250.70.110:443
  - 142.250.70.110:443 -> 10.7.11.235:58976
  - 10.7.11.235:58976 -> 142.250.70.110:443
  - 34.149.43.113:443 -> 10.7.11.235:61134
  - 10.7.11.235:61135 -> 10.0.136.7:53
  - 10.7.11.235:61133 -> 142.251.42.99:443
  - 10.0.136.7:53 -> 10.7.11.235:61131
  - 10.0.136.7:53 -> 10.7.11.235:61132
  - 54.235.64.44:443 -> 10.7.11.235:61129
  - 10.7.11.235:61129 -> 54.235.64.44:443
  - 10.7.11.235:65014 -> 142.250.77.34:443
  - 10.0.136.7:53 -> 10.7.11.235:61127
  - 10.7.11.235:61127 -> 10.0.136.7:53
  - 10.7.11.235:61005 -> 49.44.120.98:443
  - 10.7.11.235:61122 -> 18.65.3.31:443
  - 10.0.136.7:53 -> 10.7.11.235:61120
  - 10.7.11.235:61121 -> 10.0.136.7:53
  - 10.7.11.235:61120 -> 10.0.136.7:53
  - 10.7.11.235:61119 -> 142.250.70.110:443
  - 142.250.71.106:443 -> 10.7.11.235:61178
  - 10.7.11.235:64596 -> 142.250.70.110:443
  - 10.0.136.7:53 -> 10.7.11.235:61118
  - 10.7.11.235:61117 -> 10.0.136.7:53
  - 10.7.11.235:61116 -> 142.250.192.131:443
  - 142.250.192.131:443 -> 10.7.11.235:50291
  - 10.7.11.235:50291 -> 142.250.192.131:443
  - 10.0.136.7:53 -> 10.7.11.235:61115
  - 10.7.11.235:61114 -> 10.0.136.7:53
  - 142.251.42.42:443 -> 10.7.11.235:61113
  - 10.7.11.235:61113 -> 142.251.42.42:443
  - 142.251.42.42:443 -> 10.7.11.235:51863
  - 142.251.42.99:443 -> 10.7.11.235:61112
  - 10.7.11.235:61112 -> 142.251.42.99:443
  - 10.0.136.7:53 -> 10.7.11.235:61110
  - 10.7.11.235:61111 -> 10.0.136.7:53
  - 10.7.11.235:59374 -> 142.251.42.99:443
  - 10.7.11.235:61109 -> 54.237.65.249:443
  - 10.0.136.7:53 -> 10.7.11.235:61108
  - 10.7.11.235:61107 -> 10.0.136.7:53
  - 142.250.192.100:443 -> 10.7.11.235:61877
